,Delta,L,Lambda,Empirical ARL
0,0.0,3.054,0.4,484.636
1,0.25,3.054,0.4,208.462
2,0.5,3.054,0.4,55.952
3,0.75,3.054,0.4,18.938
4,1.0,3.054,0.4,4.214
5,1.5,3.054,0.4,-4.096
6,2.0,3.054,0.4,-6.576
7,0.0,3.054,0.25,546.42
8,0.25,3.054,0.25,159.65
9,0.5,3.054,0.25,30.264
10,0.75,3.054,0.25,1.902
11,1.0,3.054,0.25,-7.162
12,1.5,3.054,0.25,-13.42
13,2.0,3.054,0.25,-15.306
14,0.0,2.998,0.25,495.554
15,0.25,2.998,0.25,143.01
16,0.5,2.998,0.25,31.036
17,0.75,2.998,0.25,1.268
18,1.0,2.998,0.25,-7.906
19,1.5,2.998,0.25,-13.446
20,2.0,2.998,0.25,-15.394
21,0.0,2.998,0.1,770.794
22,0.25,2.998,0.1,95.104
23,0.5,2.998,0.1,-16.322
24,0.75,2.998,0.1,-36.562
25,1.0,2.998,0.1,-42.67
26,1.5,2.998,0.1,-47.502
27,2.0,2.998,0.1,-49.354
28,0.0,3.0,0.1,779.528
29,0.25,3.0,0.1,92.844
30,0.5,3.0,0.1,-17.202
31,0.75,3.0,0.1,-36.034
32,1.0,3.0,0.1,-42.758
33,1.5,3.0,0.1,-47.434
34,2.0,3.0,0.1,-49.36
35,0.0,3.0,0.05,1206.59
36,0.25,3.0,0.05,22.08
37,0.5,3.0,0.05,-75.548
38,0.75,3.0,0.05,-90.146
39,1.0,3.0,0.05,-97.408
40,1.5,3.0,0.05,-102.638
41,2.0,3.0,0.05,-105.104
